MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,TASA_TURISTICA_FINALIDAD#es,TASA_TURISTICA_FINALIDAD_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,23.84,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,29401,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,3.94,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,4854,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,28.97,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,35715,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,14.49,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,17861,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,28.77,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,35474,,,
