MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,TASA_TURISTICA_FINALIDAD#es,TASA_TURISTICA_FINALIDAD_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,55 años o más,Y_GE55,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,55 años o más,Y_GE55,Total,_T,286160,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,55 años o más,Y_GE55,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,55 años o más,Y_GE55,Total,_T,105686,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,55 años o más,Y_GE55,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,55 años o más,Y_GE55,Total,_T,180474,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,55 años o más,Y_GE55,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,29.09,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,55 años o más,Y_GE55,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,83247,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,55 años o más,Y_GE55,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,29.90,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,55 años o más,Y_GE55,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,31596,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,55 años o más,Y_GE55,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,28.62,,,
